2097.89,1343.00,9755.21
2056.38,1345.00,9562.15
2016.20,1346.00,9375.32
1974.68,1347.00,9181.93
1934.50,1348.00,8995.10
1895.66,1349.00,8814.83
1856.15,1350.00,8631.12
1817.31,1351.00,8450.51
1779.81,1352.00,8276.14
1741.64,1353.00,8098.31
1704.14,1354.00,7927.39
1667.98,1355.00,7756.13
1631.15,1356.00,7584.87
1594.99,1357.00,7416.38
1559.50,1358.00,7254.80
1524.68,1359.00,7089.76
1489.86,1360.00,6927.84
1455.71,1361.00,6769.04
1421.56,1362.00,6610.23
1387.40,1363.00,6454.54
1355.26,1364.00,6301.96
1322.45,1365.00,6149.38
1289.64,1366.00,5996.81
1257.49,1367.00,5847.01
1226.02,1368.00,5700.66
1194.55,1369.00,5554.64
1163.74,1369.00,5414.52
1133.61,1370.00,5271.28
1103.48,1371.00,5131.16
1073.34,1372.00,4990.70
1043.88,1373.00,4854.03
1014.41,1374.00,4717.02
986.29,1374.00,4586.24
957.49,1375.00,4452.34
929.37,1376.00,4321.56
901.24,1377.00,4190.78
873.79,1378.00,4063.11
846.33,1378.00,3938.56
820.22,1379.00,3814.01
793.43,1380.00,3689.45
767.31,1381.00,3568.01
741.20,1381.00,3446.57
715.08,1382.00,3325.13
689.64,1383.00,3206.81
664.86,1383.00,3091.59
639.41,1384.00,2973.27
615.31,1385.00,2861.17
591.87,1385.00,2751.85
568.43,1386.00,2643.20
544.32,1387.00,2531.10
520.89,1387.00,2422.12
498.12,1388.00,2316.25
475.35,1389.00,2210.38
452.58,1389.00,2104.51
430.48,1390.00,2001.75
408.39,1391.00,1902.11
386.96,1391.00,1799.02
365.53,1392.00,1699.37
344.77,1392.00,1603.18
322.67,1393.00,1503.54
301.91,1393.00,1407.01
281.82,1394.00,1310.48
261.06,1395.00,1213.61
241.64,1395.00,1123.65
222.23,1396.00,1033.35
202.81,1396.00,943.04
183.39,1397.00,852.74
163.97,1397.00,762.44
145.22,1398.00,675.26
126.47,1398.00,588.07
107.72,1399.00,500.88
89.64,1399.00,416.81
71.56,1400.00,332.73
53.48,1400.00,248.66
35.39,1400.00,164.58
17.31,1400.00,80.18
1.24,1500.00,24.46
1.24,1500.00,24.46
1.24,1500.00,24.46
1.24,1500.00,24.46
1.24,1500.00,24.46
1.24,1500.00,24.46
1.24,1500.00,24.46
